name,comp_name,long_desc,,,,,,,,,,,
privacy and security,IntellinX,"IntellinX, Ltd. develops behavior tracking solutions. Its Intellinx is a software product used for tracking end-user activity in internal business applications in heterogeneous platforms, including legacy systems. Intellinx is used in combating insider threats, as well as in complying with government regulations, collecting forensic audit trail of authorized user activities, managing operational risk, and in tracking services availability and performance. It serves financial, government, healthcare, and utilities organizations. The company offers its products directly, as well as through its U.S. based subsidiary, Intellinx Software, Inc.; and a network of distributors and partners in North America, Latin America, Europe, South Africa, and the Asia-Pacific. IntellinX, Ltd. was founded in 2005 and is based in Or-Yehuda, Israel. IntellinX, Ltd. is a former subsidiary of Software AG Israel.",,,,,,,,,,,
privacy and security,Quantum Secure,"Quantum Secure designs SAFE, an innovative enterprise software suite that streamlines the physical identity lifecycle. Our patented software solution is the only proven technology in the physical security industry that unifies global identities, ensures compliance and provides continuous risk assessment without having to rip and replace existing security infrastructure.  The SAFE Solution automates key processes and simplifies control of employees, visitors, vendors and other third-party identities across a global organization to ensure each identity has the right access, to the right areas, for the right length of time.",,,,,,,,,,,
sports,Factory Media Limited,"Factory Media dominates the European media market for action sports. 

It publishes 16 digital and 13 consumer magazine brands in six languages and serves over four million consumers in the snow, mountain bike, surf, BMX, windsurfing, skateboard, motocross and mountainbike markets. 

MPORA.com aggregates action sports content, majoring in video content, picture sharing and community functionality. The site is utilised by over 5000 other websites and allows users to upload, share and discuss content from across the action sports world. The portal provides a direct line to a traditionally difficult-to-reach group of passionate, committed and predominantly 15-34yo educated males. 

Current monthly audience reach for MPORA is 3.8M unique users, serving 1.8M videos.",,,,,,,,,,,
sports,Citizen Sports,"Citizen Sports offers a number of web applications that allow for interaction between fans.  They also are the creators of Protrade.com, where users can buy, sell, and trade their favorite sports figures as they try to win money.",,,,,,,,,,,
privacy and security,EXO5,"EXO5 provides laptop tracking, Remote Kill data protection and asset management services to enterprise customers.",,,,,,,,,,,
privacy and security,TenBu Technologies,"TenBu Technologies is an innovative technology company that specializes in providing software and hardware security solutions for Smartphones. 

TenBu has developed a unique wireless chain called nioâ„¢ that enables busy Smartphone users to keep track of valuables on the go. With nioâ„¢ your phone becomes smart enough to save your laptop from a taxi, keep kids within a safe distance, find your hidden keys & even let you know when youâ€™re about to forget your Smartphone in a cafÃ©.

Running as an application on your Smartphone, nioâ„¢ uses Bluetooth to communicate with one or more nioâ„¢ tags attached to your valuable items â€“ creating a wireless chain. If the â€˜chainâ€™ breaks both the Smartphone and nioâ„¢ tag alarm, so nothing can wander too far away or gets left behind. 

Since everyoneâ€™s habits are different, the nioâ„¢ app is customizable with an inbuilt activation scheduler, anti tamper motion sensor, adjustable security zones (length of wireless â€˜chainâ€™) & various alarm tones.",,,,,,,,,,,
privacy and security,Trinity-Noble,"Trinity-Noble is an award-winning company that has proprietary technology for the detection and prevention of distracted driving due to dangerous cell phone use by drivers.

Trinity-Noble has been focusing on developing and patenting solutions for the prevention of distracted driving since 2001. Our combined 75 years of experience in Business, Information Technology, and Engineering has allowed us to secure Intellectual Property rights that will allow Trinity-Noble, LLC to provide the United States and the world with novel solutions to a broadening problem on roads and rails around the globe: distracted driving due to dangerous cell phone use behind the wheel. Trinity Noble preserves human life through innovative solutions. Our mission is to leverage our technical prowess to help enforce the law and save lives on our highways and byways every day. Through unique and effective technology, our products will change and eliminate the threats of cellular device usage on our roads. 
We offer 3 highly effective platforms:

Guardian Angel for Mobile Platform: Downloadable cell phone application which locks a cell phone's keypad over pre-determined speed. When paired with the vehicle via an external GPS the driver is differentiated between being the driver and a passenger. A parent or fleet administer has the ability to audit the driver's phone remotely or configure the application to send alerts as to driver's speed, whether or not they are trying to make a call, tampering with the GPS, etc.

Autolog: A cell phone detector which detects and logs cell phone use by driver and upon detecting an active call snaps a digital picture of the infraction and sends the infraction back to a central server and alerts fleet management/parent.

Guardian Angel for Vehicle Platform: A fully integrated, cell phone platform agnostic smart cell phone blocker which is energized by the vehicle's power, and upon the vehicle reaching speeds above 10 MPH goes in to listen"" mode. If a cell phone signal is detected in the area of the driver's seat an inhibiting signal is emitted by the device preventing any cell phone use until the vehicle either slows down below 10 MPH or pulls over. The call is then able to be made. Handsfree option available.",,,,,,,,,,,
privacy and security,Venyo,"Venyo is a Belgian company, located next to Brussels South Charleroi Airport (EBCI) and active on the Flight Simulation Training Device (FSTD) market. In january 2010, we decided to start a huge project, the construction of a new generation of professional full flight simulators based on the Boeing 737 NG.",,,,,,,,,,,
privacy and security,Wikibon,"Wikibon is a professional community solving technology and business problems through an open source sharing of free advisory knowledge.

The organization uses a wiki to exchange information about applying information technology to create business systems. The site contains thousands of research notes available under the GNU General Public License. 

Wikibon was launched by former executives of Gartner, Meta, IDC and Giga. The firm hosts regular phone meetups called Peer Incite Research Meetings which are interactive forums available to all members.  

(http://en.wikipedia.org/wiki/Wikibon)",,,,,,,,,,,
privacy and security,Ceedo Technologies,"Ceedo protects the endpoint by jailing untrusted or malicious content inside a secure application container. Using containerization, Ceedo isolates Web-facing applications from their host and ensures that what happens in the container stays in the container, and never impacts the host. Ceedo’s protection-based approach has proven effective against known and unknown threats, including zero-day attacks, and acts as an important security layer that complements detection-based controls.
MalwareLocker protects against Web-borne threats. It runs Web-facing applications, including Web browsers, email client and other applications inside an isolated virtual environment - a container - creating a security perimeter around the application and related data. Users continue to use protected applications as they otherwise would, while all interactions between the application and the host computer are filtered through intelligent security checkpoints that ensure potential threats are confined to the container. The outcome is a highly effective protection measure against malware infections, as anything that happens in the container stays in the container, and will not affect the host machine.",,,,,,,,,,,
privacy and security,Velocity Technology Solutions,"Velocity Technology Solutions is a leader in enterprise and business application services, fully- managed and protected within a virtual private, public or hybrid cloud. It is dedicated to lowering operational costs, providing industry-leading service levels and improving software performance while reducing the burden on IT staff and enabling deployment flexibility. Velocity provides virtual cloud solutions for enterprise applications with high levels of performance. Expertise managing software 24/7, combined with proprietary technology that enhances availability, security, and control, make Velocity the trusted partner for rapidly and securely deploying application investments into a secure and resilient virtual cloud.
 
Velocity is headquartered in Charlotte with facilities in Minneapolis, Nashville, Denver, Tampa, India, Singapore, London (Canada), and Glasgow. Velocity is a portfolio company of Silver Lake Sumeru, a global leader in private equity investments in growth-oriented technology and technology-enabled companies.",,,,,,,,,,,
privacy and security,Fortressware,"Fortressware, Inc. provides solutions to secures data and intellectual property of the outsource providers. It offers The Fortressware Secure Team suite that consists various modules, including Foresee that discovers IP vulnerability at a modular level, determines access policies, specifies the development, and environment configuration; Forewarn, which monitors global activities for potential compromise and compares actual data with plan; forward that creates, controls, administers, manages, and replicates the Fortress Capsule to secure the virtual workspace; and Fortress, which secures the project environment using the Fortress Capsule and to enforce and propagate access policies in real time for policy administration and management. 

Fortressware, Inc. is based in Los Altos, California.",,,,,,,,,,,
privacy and security,Cohesive Networks,"Cohesive Networks provides cloud-class security and networking software for enterprises. 

Cohesive Networks is a cloud-native security and network software company. VNS3 products let enterprises extend, secure, and enhance virtual networks. Over 2,100 customers use VNS3 virtual appliance products at the application layer to enhance security, connectivity, and integration.

To find out more, visit www.cohesive.net

Cohesive is an Amazon Advanced APN Technology Partner, an Amazon Marketplace Seller, a member of the Microsoft Partner Network, Microsoft Azure certified, a Google Cloud Platform Authorized Technology Partner, a CenturyLink Cloud Marketplace Provider, certified HPE Helion Ready, a GovCloud provider, Cloud28+ Partner, and an IBM Business Partner.",,,,,,,,,,,
privacy and security,Verified Person,"Verified Person provides the industry's most advanced criminal background screening and identity verification services, applying leading-edge technology to traditional search methodologies in order to deliver faster, more accurate results via a simple-to-use Web site. The company's solutions help healthcare, staffing, financial services, retail and other industry organizations to comply with regulation and to mitigate corporate threats such as workplace violence, internal theft and fraud, and poor employee selection. Verified Person was founded by John Sculley, former CEO of Apple Computer, and Tal Moise.",,,,,,,,,,,
privacy and security,Greendimes,"Green Dimes is a website dedicated on educating and informing the public about the serious threat that is Junk Mail is to the environment. 

Every day, millions of people receive mail that they didn't want, didn't ask for and, mostly aren't interested in. 

Thousands of companies, large and small, rely on this unpopular method of advertisement to get to the general masses, regardless of the huge negative impact it has.",,,,,,,,,,,
privacy and security,Insightix,"Insightix Ltd. provides security intelligence and control solutions in Israel. It offers Business Security Assurance Suite, which is designed to detect, identify, profile, audit, and control various devices connected to clientâ€™s network; Business Security Assurance Visibility, which delivers the information necessary to properly manage and secure the enterprise network and the business of information technology; Business Security Assurance Security Configuration Management, which provides an automated way to audit the security configuration of client devices by measuring their level of compliance with internal and external policies; Business Security Assurance Security Network Access Control, which provides way to control access to the enterprise network; and Business Security Assurance Guest Network Access, which provides a way to offer guest network access while maintaining the security of clientâ€™s internal network. The company also provides compliance, management, security, and virtualization solutions. 
Insightix Ltd. was founded in 2004 and is based in Ra'anana, Israel.",,,,,,,,,,,
agriculture and farming,Zag,"Zag is transforming the auto-buying experience with a groundbreaking technology and services platform that makes it possible, for the first time, for the consumer to complete more of the auto-buying transaction online – everything from selection, pricing, searching inventory and accessorizing to financing and insurance.

The Zag technology and services solution is available on a private label basis to affinity and membership organizations as a way of providing a greater level of value and service. Zag works with a nationwide network of financial institutions, dealers and aftermarket fulfillment partners to provide turnkey solutions and lower prices to this large group of buyers. Zag is also providing its platform as a private-label solution to auto dealers enabling them to differentiate themselves in a competitive industry by giving their customers a streamlined buying experience whether at the dealership or online.",,,,,,,,,,,
sports,rVita,"rVita's goal is to make alternative therapy search easier, separating science from the snake oil. 

rVita brings Web 2.0 technologies — mashups, user generated content, and community — to integrative medicine making it easy for consumers to search therapies that have good chance of success.

The site's key features include reputable content about integrative therapies, a trusted practitioner network, and valuable peer-to-peer and expert feedback about what remedies really work. Armed with these powerful tools, consumers can effectively compare treatments and select the best ones for their condition.",,,,,,,,,,,
sports,mix1,"Mix1 has the perfect mix to fit your life and schedule. Never again will you miss getting the necessary nutrients because you were too busy to eat. They strive to help you make healthy choices during your busy day in order to help you feel your best not only today, but every day.",,,,,,,,,,,
privacy and security,AquaMobile,"AquaMobile S.L. provides solutions for securing, managing, and tracking the use of digital and printed images. It offers security products, including Secure PDF that enables to prevent and identify confidential information leakage; SecureStamp that offers printed encoding; Secure Rubber Stamp that offers watermarking technologies; Secure Degree that offers watermarking protection against forgery; Secure Check that provides protection for legal printed payment document; ImageBridge that offers images or logos protection; and MyPictureMarc that offers digital protection for online portfolios. The company also provides mobile marketing products, including CLIC2C, a software for camera equipped mobile devices that decodes hidden watermarks in printed objects; Text2c, a software that decodes hidden watermarks in printed objects for mobile devices with no cameras; Code2c that provides barcode reading services; and GATEWAY MMS/SMS that enables sending and receiving SMS and MMS. Its technologies are used in feature films, music, broadcasts, television programs, and printed and digital imaging, as well as entertainment, television and radio broadcasting, electronic devices, and information technology sectors. 

The company was founded in 2006 and is based in Madrid, Spain.",,,,,,,,,,,
sports,ScoreGrid,"ScoreGrid enhances sports viewing by providing visual information that complements the live action, allowing a deeper understanding of the game being played and heightening the tension.

ScoreGrid provide live tracking of football (soccer) games using a combination of manual input and home grown software. The data is then interpreted using ScoreGridâ€™s game visualization tools and broadcast live. The site boasts the first publicly available heat maps of football (soccer) games, in depth statistical graphs on ball possession and territory as well as a top down visual of ball movement and events during the game as it is played out.  The site currently covers the Barclays English Premier League and the UEFA champion league.",,,,,,,,,,,
sports,Takkle,"TAKKLE is a online resource focused on high school athletics, provides a platform and tools for high school athletes to create player and team profiles, share videos and photos, track and view statistics, and allows students to connect with team coaches and college sports recruiters for advancement opportunities. The site has drawn a monthly audience of close to one million athletes(2), both male and female, and has attracted an impressive array of advertisers, including Procter & Gamble's Tampax brand, Gatorade, and Spalding.",,,,,,,,,,,
privacy and security,ClearMyMail,"ClearMyMail is a spam blocker, aiming at blocking spam and virus emails before they reach your inbox.  The system works on any operating system or device that supports POP3 mailboxes (IMAP support will be available in the future).  You don't need to change your email address and there is no software to install or manage, the ClearMyMail system works completely online.",,,,,,,,,,,
privacy and security,Whois,"The whois? personal identity platform helps users create, manage and propagate their online presences. Users can download the whois? uPOD - a browser add-on - which helps to manage all their websites, login ids, passwords, and personal info organised under their multiple personas such as work, play, school etc. Using a one-click login feature, users can automatically sign-in into their favorite sites without having to re-enter their ids or passwords. You never have to forget another password! The uPOD also allows users to sync this feature across multiple computers thru the whois? server. 

Current version supports both IE and Firefox browsers.",,,,,,,,,,,
privacy and security,Wordfence,"If one WordPress site running Wordfence is attacked, the attacker is blocked and all other sites also running Wordfence block that attacker. You are watching this happen in real-time on the map above. The data you're seeing is being streamed to your web browser from one of their real-time security servers in their Seattle data center. Green traffic is ordinary WordPress sign-in's. Red traffic is hack attempts that we've blocked.

Wordfence is the only WordPress security plugin that provides this kind of real-time distributed protection as it learns from other sites that are attacked. It's part of what makes us the best WordPress security plugin in the business. But that's just the beginning of what they do to protect your site and help you recover from an attack.",,,,,,,,,,,
privacy and security,Protecode,"Protecode Incorporated is a software company specializing in open source licensing and vulnerability management solutions. Protecode offers its products and services throughout the world through a network of partners in the Americas, Europe, the Middle-East and Asia.

Protecode solutions help with managed adoption of open source software, accelerating development, reducing development costs, improving software quality, identifying security vulnerabilities, and removing Intellectual Property uncertainties. 
Protecode products can detect and manage open source and other third party content in a software portfolio at any stage of the software development life cycle. 

Protecode products and services help organizations implement a structured open source software adoption and management process and have been adopted by hundreds of software organizations worldwide in industries as diverse as gaming, mobile apps, financial, embedded software, semiconductors, communications, avionics, military, software services and eHealth. Thanks to the highly scalable architecture and business model, Protecode products have been adopted by global tier one companies with over 100,000 employees, and by organizations with as few as ten people.

Protecode delivers solutions that are fast, accurate, complete, affordable, and usable by stakeholders in an organization. Protecode products are easy to adopt, install, use and support.",,,,,,,,,,,
sports,Intent,"[Intent](http://www.intent.com) is a start-up media venture dedicated to building the Web's definitive wellness brand.  Intent aims to become a trusted destination for wellness content, a syndication platform, and a branded hub for people seeking to share their intentions — personal, social, spiritual and environmental.",,,,,,,,,,,
sports,Zigabid,"After years of research, Zigabid has developed an innovative way to solve the disconnect between buyers and sellers.  Zigabid is where consumers interact directly with each other to determine the price of a ticket.",,,,,,,,,,,
agriculture and farming,Stormfisher Biogas,"Renewable energy company that builds, owns and operates biogas plants across North America.

Works with the food processing and agricultural industries, processes organic by-products and converts them into natural gas and electricity.",,,,,,,,,,,
sports,FUZE Fit 2 Play,"State-of-the-art kid/teen fitness and activity center featuring exergaming and interactive gaming technology fuzed"" with traditional sports conditioning", yoga, zumba, jumprope classes, parties," camps and certified 1-1 coaching just for children. Big ""wow"" facility factor - club meets gym meets high-energy party.",,,,,,
sports,TournEase,"TournEase is a full service  support company for non-competitive golf tournaments anchored by a full featured web based suite that helps to plan and execute golf events.  


TournEase provides a rich patent pending web based suite of planning and executing services offered as a FREE service to charity, non-profit, association, and corporate tournament planners.  A unique 360 degree service offering is found at TournEase, comprised of the planning suite, tournament shop and live tournament coaches.  Each tournament gets to build a free custom tournament website to promote their event, register their players and even take registration payments.  Everything else is included in this fully integrated app including the kitchen sink, like tournament sponsorship, logo and player management; like finances, player communication tools, dynamic task list and calendars, world class tournament products all available in one place for the first time.  Web 2.0 meets golf.  One million golf events each year get a free productivity tool and TournEase aggregates $2bil + of product spent executing these events.  TournEase does the heavy lifting too - all the product sales are done through TournEase and not just referred out to third parties. So the same company that provides advices (for free) on how to make your event better is the company that makes sure your signs, apparel, awards, and player gifts show up on time.",,,,,,,,,,,
sports,CollegeFanz,"CollegeFanz is a social networking site geared around college sports, founded by ESPN founder Bill Rasmussen. 

The site allows users to post information and content about their favorite college teams (including photos, videos, and opinions), find other fans online, create blogs and groups, and invite other fans to online forums and talk shows.

Major partners in creating the College Fanz experience are Open Crowd, Linqware, PA-SportsTicker and The Musser Group.",,,,,,,,,,,
sports,Escapeer.com,"Escapeer.com is an online network for leisure and adventure activities. 

The company partners with local service providers offering activities then help users find and book these activities directly online in real-time.",,,,,,,,,,,
privacy and security,Kerlink,"Kerlink offers application services in a complete network solution to professionals wishing to connect and manage remote, fixed or mobile equipment.",,,,,,,,,,,
privacy and security,AllClear ID,"AllClear ID was founded in 2004 by CEO Bo Holland, a visionary entrepreneur who has been delivering innovative technology solutions to the financial sector for more than twenty years.

Today, AllClear ID is the leader in customer security, providing data breach response services to businesses that aim to protect their greatest asset: customers. As an industry leader and trusted partner with more than 10 years of specialized experience in data breach response, AllClear ID has helped thousands of businesses prepare for, respond to, and recover from data breaches, including successfully managing three of the four largest and most complex breach responses in history. The award-winning AllClear ID team is recognized for its expertise, customer service, and innovative solutions.",,,,,,,,,,,
sports,Active Media,"Active Media (活跃传媒) is a fitness media operator focused on providing all-around advertising, communication, and integrated marketing services for fitness clubs of companies. 

It has owned the media network of over 2100 middle and high-end fitness clubs in 37 cities around the nation up to now, and its range of services include industries such as auto, finance, real estate, communications, IT, pharmaceuticals, clothing, retail chain, cosmetics, FMCG, service, and more.

Active Media was founded in 2005 in China.",,,,,,,,,,,
privacy and security,VoIPshield Systems,"VoIPshield Systems develops products to protect Voice-over-IP (VoIP) networks from security threats and exploits. The company's key products include VoIPaudit, a VoIP Vulnerability Assessment (VVA) System, and VoIPguard, a VoIP Intrusion Prevention System (VIPS). VoIPshield Labs, the internal research group, performs vulnerability testing and analysis specialized in zero-day vulnerabilities.",,,,,,,,,,,
privacy and security,CitizenHawk,"CitizenHawk is a provider of trusted online brand management solutions that enable companies to register, monitor, protect and enforce proper use of their brand online. CitizenHawk's patent-pending technology provides an in-depth overview of online brand use and abuse, identifies instances of cybersquatting that infringe on a company's trademark, sends notices of fraudulent activity to domain owners, interrupts the flow of money being paid to cybersquatters and automates legal action to get fraudulent sites stopped for good.",,,,,,,,,,,
sports,STACK Media,"STACK exists to inspire and empower the next generation of athletes. Their mission is to bridge the information gap between professional and amateur athletes. They attempt to level the playing field and democratize sport. They believe that every athlete should have the information and tools they need to reach their potential.

They are the athlete's partner in achieving their athletic destiny—whether it is to make the team, become a starter, earn a scholarship or go pro. They provide authentic training, nutrition, motivation, skills and gear advice from the best pro athletes and performance experts.",,,,,,,,,,,
privacy and security,AppAssure Software,"AppAssure Software is a provider of award-winning backup and disaster recovery software for Windows application servers. 

Considered a pioneer of the Backup 2.0 movement, AppAssure products are designed to go beyond protecting data alone, protecting entire application infrastructures and ensuring rapid recovery in the event of system failures. Committed to ensuring reliable and affordable application backup and recovery that is available to every organization, AppAssure Software leverages cutting-edge technologies to reduce storage footprints, shrink recovery times, and make certain that applications can be recovered to any point in time, from the datacenter or from the cloud.",,,,,,,,,,,
sports,U-Play Studios,"U-PLAY Studios is an company that starts with the professional work of a group of enterprising young people who worked hard launch a project to follow the disappeared PC basketball, from Dinamic Multimedia. This is the first battle of U-PLAY Studios, the development sportive management simulator that gives back all the sensations of the mithic saga. As a studio, U-PLAY won't stop searching new ways of business to take the name of the own company to reach the most possible amount of customers. The market it's full of opportunities and from U-PLAY we will be attentive on any possible business for your own interest or for your business.",,,,,,,,,,,
privacy and security,Palamida,"Palamida provides application security solution exclusively for open source software. The Palamida Enterprise Edition uses component-level analysis to identify and track undisclosed code and associated security vulnerabilities, as well as intellectual property and compliance issues. 

Using Palamida, organizations can manage and secure mission critical Web and software applications.",,,,,,,,,,,
privacy and security,The Key Revolution,"The Key Revolution enables internet users to securely authenticate themselves and encrypt their data using the SIM (Subscriber Identity Module) - familiar to billions of mobile phone users worldwide. 

The Key Revolution was licensed to use the technology in September 2007 in return for an early equity stake. The first product from The Key Revolution based on its SIMAssuredTM technology platform is Mobiu, a portable office solution which uses a unique SIM enabled solution to access files and applications securely from any online PC running Windows XP or Vista.",,,,,,,,,,,
sports,Atomic Moguls,"Atomic Moguls is building the next generation of social fantasy sports games--fantasy sports meets Farmville. Flagship products include Galacticos Football, Galacticos South Africa, Franchise Basketball and Premier League Picks.",,,,,,,,,,,
privacy and security,Rohati Systems,"Rohati Systems, Inc. enables transaction level policy enforcement for securing data center resources. Rohati has introduced a portfolio of high-performance data center platforms delivering agent-less access management for organizations of any size. Founded in 2006 and headquartered in Sunnyvale, California, Rohati was the culmination of ideas from five seasoned security, systems and networking experts with combined work experience of forty plus years at Cisco.",,,,,,,,,,,
privacy and security,Purewire,"Purewire is a web security SaaS application designed to secure business and social interactions on the Web. Their services infrastructure allows high performance processing of Web traffic, and are ideal for both large and small enterprises.",,,,,,,,,,,
sports,GoodBelly,"GoodBelly contains 20 billion live and active probiotic cultures per serving, which have been clinically tested to support digestive and immune health. All GoodBelly products are fabulously free of dairy (it's not yogurt, it's a fruit drink!), wheat-free, soy-free, and entirely vegan, too.  Why?  Because they wouldn't have it any other way.",,,,,,,,,,,
sports,Weplay,"[WePlay](http://www.weplay.com) is a social networking site for youth athletes as well as a team management application for their parents and coaches. The youth athletes who use the service are  able to set up their profiles with pictures, exchange communication with other friends on the network, upload videos of sports events, and play games.  

Parents are able to view practice schedules, organize car pools with other parent users and exchange advice about equipment and other relevant interests. 

Coaches will be able to directly communicate with their players and parents, as well as learn about strategy and exchange game plans with other coaches.",,,,,,,,,,,
privacy and security,TraceSecurity,"TraceSecurity, a leading pioneer in cloud-based security solutions, provides IT governance, risk and compliance (GRC) management solutions. The company's cloud-based services help organizations achieve, maintain and demonstrate security compliance while significantly improving their security posture. With more than 1,500 customers, TraceSecurity supports the security and risk management efforts of organizations in financial services, healthcare, high-tech, insurance, government, education and other regulated sectors. Founded in 2004, the company has executive offices in Silicon Valley and offices in Baton Rouge, Louisiana.   

Through a combination of software and professional services, TraceSecurity helps clients address all critical components of a successful risk-based information security program – including people, processes and technology. TraceSecurity's flagship solution, TraceCSO, is the first and only cloud-based software solution that makes IT GRC a complete and affordable business application for small to medium enterprises (SMEs) of any industry or security skill set. In addition, TraceSecurity offers professional services that include, but are not limited to, social engineering, penetration testing, risk assessments, information security audits, security awareness training and vulnerability assessments.",,,,,,,,,,,
sports,Challenge Games,"[Challenge Games](http://www.challengegames.com) creates online social games that are fun and easy to play whether you're a serious or casual gamer. Tapping the capabilities of social networks, Challenge Games helps people play with and against friends.",,,,,,,,,,,
sports,NYX Interactive,"Nyx Interactive has in a short time become one of the world’s leading independent and total suppliers of systems for digitally distributed gaming entertainment. A part of the NYX Gaming Group, Nyx Interactive specializes in developing gaming system solutions for World Lottery Association members, media companies and both private and publicly listed Gaming companies world-wide. Through its NYX OGS™, licensees are offered a fully hosted Open Gaming System, offering the best in Casino content from around the world.

via: [Casino City](http://online.casinocity.com/software/software.cfm?Id=7119)",,,,,,,,,,,
sports,Ticket2Final,"Ticket2Final is a unique company that sells Options to fans for Tickets to championship games. The options are convertible to a real ticket, at the ticket face value – should the fan’s team get to the Final game (or the Semi Final). We offer sports fans the opportunity to buy Options to a variety of tournaments worldwide. Fans buy their options during the season, and if their team makes it to the Final, they can convert the option to a real face value ticket. Ticket2Final is not a ticket company and doesn’t interfere or compete any of the current official ticket providers/processes.
Ticket2Final is an official company and working together with the organizing bodies.
The many outstanding advantages our innovative method brings to our customers:
1.	Reserve now – decide later. Fans are not required to pay for their tickets until they know for sure their team has qualified for the Finals.
2.	Fans enjoy the luxury of having their tickets reserved and kept definitely safe for them.
3.	Fans have time to buy their tickets to the Finals from season’s begin and until the Semi Finals.
4.	Fans have access to tickets for the Finals at face value.
5.	Fans have no obligation whatsoever to convert options they bought into tickets.",,,,,,,,,,,
